brand,y,event,sitewide,discount,start_date,end_date,snapshot
Gymshark,1,,0,up to 50% off,03/07/2017,06/07/2017,20170703201927
Gymshark,1,Summer/Winter Sale,0,up to 50% off,07/07/2017,09/07/2017,20170707111833
Gymshark,1,Blackout,1,up to 50% off,20/11/2017,27/11/2017,20171120184507
Gymshark,1,Outlet Sale,0,up to 50% off,15/02/2018,22/02/2018,20180215105512
Gymshark,1,Blackout,1,up to 70% off,21/11/2018,27/11/2018,20181121064634
Gymshark,1,Summer/Winter Sale,1,25% off,04/07/2019,04/07/2019,20190704043745
Gymshark,1,Labor Day,0,30% off,02/09/2019,02/09/2019,20190902150421
Gymshark,1,Black Friday,1,up to 70% off,26/11/2019,02/12/2019,20191126023211
Gymshark,1,,1,up to 30% off,17/03/2020,17/03/2020,20200317074504
Gymshark,1,Generic Sale,1,up to 30% off,18/03/2020,18/03/2020,20200318110758
Gymshark,1,Afterpay Day,1,up to 30% off,20/03/2020,23/03/2020,20200320053049
Gymshark,1,Summer/Winter Sale,1,up to 50% off,26/06/2020,26/06/2020,20200626092350
Gymshark,1,Black Friday,1,up to 30% off,19/11/2020,27/11/2020,20201119092659
Gymshark,1,Hauliday,0,15% off,02/03/2021,03/03/2021,20210302143342
Gymshark,1,Generic Sale,0,up to 50% off,15/06/2021,15/06/2021,20210615060135
Gymshark,1,Black Friday,1,up to 70% off,18/11/2021,28/11/2021,20211118190111
Gymshark,1,Cyber Monday,1,up to 70% off,29/11/2021,29/11/2021,20211129173650
Gymshark,1,Family Sale,0,30% off,18/03/2022,22/03/2022,20220318011903
Gymshark,1,,0,30% off,22/04/2022,01/05/2022,20220422121411
Gymshark,1,,0,30% off,23/07/2022,25/07/2022,20220723204455
Gymshark,1,Singles Day,1,22% off,11/11/2022,12/11/2022,20221111175520
Gymshark,1,Black Friday,1,up to 60% off,19/11/2022,28/11/2022,20221119195325
Gymshark,1,Cyber Monday,1,20% off,29/11/2022,01/12/2022,20221129090701
Gymshark,1,Summer/Winter Sale,0,30% off,27/12/2022,03/01/2023,20221227081852
Gymshark,1,Friends And Family,1,up to 60% off,14/03/2023,19/03/2023,20230314121435
Gymshark,1,Friends And Family,1,up to 60% off,28/06/2023,30/07/2023,20230628141230
Gymshark,1,Friends And Family,1,up to 60% off,04/08/2023,05/08/2023,20230804151234
Gymshark,1,Friends And Family,1,up to 60% off,11/08/2023,12/08/2023,20230811170655
Gymshark,1,Friends And Family,1,up to 60% off,18/08/2023,18/08/2023,20230818053239
Gymshark,1,Flash Sale,1,20% off,04/09/2023,04/09/2023,20230904160644
Gymshark,1,,0,30% off,12/10/2023,17/10/2023,20231012202225
Gymshark,1,Black Friday,1,up to 70% off,22/11/2023,25/11/2023,20231122170051
Gymshark,1,Cyber Monday,1,20% off,28/11/2023,29/11/2023,20231128172353
Gymshark,1,,1,20% off,03/12/2023,12/12/2023,20231203052439
Gymshark,1,,1,30% off,19/12/2023,19/12/2023,20231219081210
Gymshark,1,Summer/Winter Sale,0,up to 60% off,23/12/2023,23/12/2023,20231223091440
Gymshark,1,Summer/Winter Sale,0,40% off,29/12/2023,02/01/2024,20231229183747
Gymshark,1,,1,20% off,03/01/2024,03/01/2024,20240103215305
Gymshark,1,,0,20% off,18/01/2024,20/01/2024,20240118214707
Gymshark,1,,1,20% off,27/01/2024,27/01/2024,20240127232022
Gymshark,1,,1,20% off,03/02/2024,03/02/2024,20240203154339
Gymshark,1,,1,20% off,17/02/2024,02/03/2024,20240217184141
Gymshark,1,,1,up to 60% off,18/03/2024,18/03/2024,20240318054942
Gymshark,1,,1,20% off,24/03/2024,26/03/2024,20240324063540
Gymshark,1,,1,20% off,01/04/2024,15/04/2024,20240401202211
Gymshark,1,,0,30% off,27/04/2024,05/05/2024,20240427192648
Gymshark,1,,0,20% off,18/05/2024,20/05/2024,20240518071839
Gymshark,1,,1,20% off,29/05/2024,29/05/2024,20240529033627
Gymshark,1,Generic Sale,1,up to 60% off,27/06/2024,01/07/2024,20240627195528
Gymshark,1,,1,up to 60% off,02/07/2024,02/07/2024,20240702200158
Gymshark,1,,0,20% off,01/09/2024,01/09/2024,20240901182403
Gymshark,1,,0,up to 50% off,27/09/2024,01/10/2024,20240927071442
Gymshark,1,,0,up to 50% off,07/10/2024,07/10/2024,20241007103417
Gymshark,1,,0,up to 60% off,26/10/2024,26/10/2024,20241026092355
Gymshark,1,Singles Day,1,22% off,12/11/2024,12/11/2024,20241112085102
Gymshark,1,Black Friday,1,20% off,15/11/2024,05/12/2024,20241115205220
Gymshark,1,Summer/Winter Sale,0,up to 60% off,24/12/2024,30/12/2024,20241224193526
